"",p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
xylulose NIST,-0.0275853744800512,0.023682333601062,-0.00213174216486131,0.00995068182266856,-0.0663501983319545,0.00621208372347426,-0.0700381906471215,-0.0461787818059179,0.00775446103549735,-0.0819318693604808
xylose,-0.0322652517157486,0.0163414203788336,0.0110575230135121,-0.0354635897497221,-0.0164692504518518,-0.0733734567148348,-0.0419146346201282,-0.0421261086666633,-0.00842905660126542,0.0187089228540216
xylitol,0.040954070976483,-0.0524280917954869,-0.0267616601809763,0.0125740420110234,0.0316299061779649,-0.0513086625664872,0.0152166417251521,-0.0464033031856591,-0.0333584134612003,0.0196870533826874
valine,0.0327101451305022,0.02605490901321,-0.0497203628208178,-0.0643122055990259,0.0226457916698537,-0.0228024133533744,0.0354413669136626,-0.0581856550594414,0.0358527163038361,0.0293867944282708
uridine,0.0276753003732092,0.0544783507816797,-0.0133607988295221,0.0793838601057436,0.0235360099508602,0.00361064870352222,0.039249388543605,-0.0577773556195508,-0.044595473129379,0.0221415765398127
uric acid,-0.0105634488115252,-0.0204494445315027,-0.019941678217353,-0.0463675253212551,-0.0161977594005834,-0.0278306303020809,-0.0252804716137515,-0.0685556763945799,-0.0874372010166223,-0.0994653473175893
urea,-0.0153619872202035,-0.0036843115989074,-0.0550059447591939,-0.025158966401583,0.0493417414975502,-0.0672195934722338,0.0667994327185622,-0.0429520232778004,0.0145529047321455,-0.0341478201614561
uracil,0.0572893936109954,-0.0101399554158674,0.0104246424656207,0.0226071904959004,-0.0117534414193607,-0.0197481998249095,0.000658697079591008,-0.0187213948772868,-0.0368517446711146,0.0716203749363906
tyrosine,0.0105501939558808,0.00264327942241509,-0.0445745139018707,-0.000486097338119467,-0.0383755392586256,-0.0437171026961769,0.0845558713750544,-0.0837637662823506,0.0191661149358418,0.0553609027441945
tryptophan,-0.0494328336194773,-0.0567885397394966,-0.0184391503169891,0.0440321381786774,-0.00302684051118765,-0.00508283624461149,-0.00345287894334525,-0.0220641848403685,0.0294707962283112,0.0391649765348982
trans-4-hydroxyproline,-0.044234878306235,-0.00853265168061045,-0.0578360635016467,0.0434893634310614,0.0136723350033191,-0.0100396448415639,0.0248464484264966,0.00203819606030135,-0.0863961370172314,-0.0203236566495553
thymine,0.0369341329135759,0.0508951394355515,-0.0227551225555313,0.00456926644646875,0.0115916190116617,0.00679837589078316,0.0130330227295226,-0.0345021622291558,-0.0722546472923807,0.0851738427480816
thymidine,0.0156379149254928,0.0592440953900358,-0.0383507766680683,-0.041586855671427,-0.0148126999350092,0.0291205700431248,0.0048274925298677,0.0110453004203661,-0.0640446186382495,0.0983428709447423
threonine,0.0279309185583903,0.0359616803577269,-0.0121281408691417,-0.0252497217504434,-0.0759612767049127,0.0250128269985701,0.0490654071508052,-0.0344099238291463,0.00841779621224709,0.0291935530309886
threonic acid,0.029126013785323,-0.0604927906375054,0.00108798113583292,-0.0378525295174974,-0.0483656509856711,0.0292396740668818,-0.0471053759939918,0.0356558487705035,-0.00928031612511335,0.0600742279595381
taurine,0.0552174102870478,-0.00252180334155699,0.0248509317263058,-0.0129018174603161,-0.0224615468926947,-0.0310841661930726,0.0600408630588786,0.00161602312100991,0.0359478681485922,0.00385776857670284
sulfuric acid,0.0317968754813814,0.0566096852039028,-0.0765121763537115,-0.0204032696714438,0.00775473800247185,0.0249786204462973,0.00118282571817938,-0.0431208088686388,-0.0329769749701128,0.0166306387258284
sucrose,0.043703575264022,0.00495518580306903,5.33182536935992e-05,-0.0583119707427988,-0.0457801413405628,-0.00809892754425118,0.0110375081741376,0.0115461485780482,0.0607597425309585,0.0668836752895319
succinic acid,0.0437258243808278,0.0100055879344748,0.0150083449744852,-0.0439140540638821,0.00123981263732937,-0.0214692464573793,0.0630549948746141,0.0119131602482037,-0.00767813186734644,-0.0963150962648423
stearic acid,-0.0173016514236269,-0.0212005161927451,-0.0215985074123621,0.0142687283074995,-0.0538645445941634,-0.0321459417358371,0.0260777146283124,0.081417426557707,0.0507811504354187,-0.0754533223434287
serine,0.02936826943182,0.0145335142370254,0.0386575495944562,-0.0405809450676439,-0.0710463514000831,0.0519040652983447,0.0531397527327071,0.00582939415662157,-0.000565176313277013,0.0237627904250993
saccharic acid,0.0551837494978069,0.00605991105289087,-0.0078502259314066,0.0215164188614127,-0.023484776718832,-0.0447012956803431,0.0164466974644979,-0.0244795847881335,-0.0397715488511063,0.0369635526085222
ribose,0.022612189950089,-0.076557136476139,0.0772827784454443,0.0297551584745445,-0.0187292141720718,0.00934331851042681,-0.021667720292174,0.0152033810243246,-0.00916179284448084,0.0328922978587104
ribonic acid,0.0403795815710882,-0.0265469938781879,-0.01232272880323,0.0182418705598695,-0.0350634451774615,-0.027602648746822,0.00512682321316182,0.0106166021005472,-0.0988108534859552,-0.054048075486313
ribitol,0.0381352916396568,-0.0587214680436593,-0.0150991335259024,-0.0249440036076977,-0.0103967655999658,-0.012143445066454,0.0912083630823143,0.0323384043772949,-0.0220567175060179,-0.00447920106723748
raffinose,0.0184553846435964,0.00952142307361437,-0.0157478260638486,0.0348252280161255,-0.0584224378935003,-0.039736086047615,0.072820231323255,-0.0912957049773158,-0.0237119140807141,-0.0236749016204769
pyruvic acid,0.0380677632565838,-0.0621880990656398,0.0749586973723186,-0.00499923381990318,-0.0248849850404259,-0.0074047468597607,0.0228159702489487,0.026543680582026,0.00702444750166017,-0.0260917619790532
pseudo uridine,0.00745467991923847,0.000143726481676029,-0.056207495376153,0.0547195434531465,-0.012437901080817,0.0282445405671029,-0.071883305010688,0.0593596389527835,-0.0822681554287193,0.0333198168429736
proline,0.00300377620886085,-0.000938493770996465,-0.0736159337882103,0.0610911554664429,-0.00482637374487546,-0.0274601612973892,0.0297589537018763,-0.111628687127679,-0.00924223455840269,-0.00847854559245791
pinitol,0.0160784524484097,0.00641084267978693,0.0313160136712574,0.0523954584059955,-0.0363172731436571,-0.0482272400485382,0.0679761378927667,-0.0735294206889743,-0.0687717254362744,-0.0198910278039264
pimelic acid,-0.00501144098528423,-0.0495640360274499,0.0616780351455238,0.00884067227318728,-0.0492809894084152,0.0533721423386422,-0.0670052990737785,-0.0383936684617883,-0.0295741820082399,0.0285617900123189
phosphate,-0.0235812159381858,0.0219036624601334,0.0104855043403449,-0.00234629441128531,0.0195025526017161,-0.0611889332825414,-0.0261483534498626,0.0684517144212816,0.0506611758306815,0.0434858134280726
phenylethylamine,-0.0218076863994945,0.0528589893756324,-0.0455604127578602,0.0230794238458642,-0.0455784127054386,0.0137044904639414,0.0213188655701463,-0.0869016540772083,0.0414916848968251,-0.0493243664228077
phenylalanine,0.0255886338867741,0.0162921438257394,-0.00889611858517991,-0.0517080626380253,-0.025891012191114,-0.00921334686140658,0.0612484577639996,-0.0875251564790647,-0.0486487753616099,0.00796168451515744
