"",M102,M102.1,M104,M105,M121,M156,M62,M70,M100,M101,M129,M130,M177,M59,M96,M98
xylose,3486,2820,6526,5155,3692,3257,4037,5238,5891,5449,9003,2360,3137,7848,4664,5180
xylitol,9411,9645,8053,11574,3201,5295,6187,9329,12274,6517,14804,4179,9121,22308,6647,8118
xanthine,15330,10940,12442,17270,2323,10843,10873,8929,16407,9015,7549,7194,15687,11116,8483,10392
valine,81355,73421,67039,47846,75034,48408,44271,41458,102311,86350,62876,58616,61035,98473,69298,97018
uridine,13945,13644,19031,23238,19193,18448,19544,15480,34773,21801,17838,13682,30491,15289,19076,14270
uric acid,980,1180,1587,2439,450.137675523809,1151,1174,1148,1578,660,619,626,1643,1421,790,982
urea,1224131,1215973,1286448,1054372,1401030,685747,958055,699920,933406,1349242,1370299,1299337,950260,1238466,1062044,1124984
uracil,24048,15624,16062,20621,10907,14942,12839,8884,24554,16586,18221,11512,19155,13287,16834,16792
UDP GlcNAc,780,679,714,1309,300.400489140083,886,1088,887,1030,756,258.56130689258,904,1086,335.62536637356,599,595
tyrosine,38517,38210,50978,62610,4209,39122,51674,24031,51127,41717,23518,40844,40308,49124,51393,71783
tryptophan,8233,8256,10412,12349,3093,7093,11287,5243,15053,4414,4023,6417,14938,9468,5501,10632
tocopherol alpha-,11853,7044,8413,10500,6713,11997,12692,8495,16001,6549,6960,12180,10332,9119,8121,8569
thymine,1209,1006,1588,1470,1253,1359,518,1412,2714,1069,1389,1428,174.686619339183,1454,1455,1665
threonine,51120,46485,51153,35138,55144,51444,41381,37101,53200,46832,34836,43540,42945,60716,47097,56433
threonic acid,19937,13703,18875,25863,23690,24615,26039,17135,32087,22703,22336,25042,16895,20789,19829,20751
terephthalic acid,1422,1686,1536,6398,2227,1651,3892,1554,2676,1468,1315,1473,6609,1395,1592,1604
taurine,2355007,2341213,1416931,519690,1396114,2333056,2496801,2111731,3062161,2450878,2389542,2103937,2045878,919422,1812714,2289237
tagatose,2821,1659,2547,242.915791405954,1566,908,533,1836,2558,2970,1231,637,1985,3669,2908,1206
sucrose,1245,3958,1552,565.906486122796,389.864676257572,553.697786578296,3801,838,476.861448469678,31155,371.874192781944,2368,5185,856,214.243747413219,374.289755090412
succinic acid,54474,96114,104467,22990,62121,42487,69061,86810,44329,67833,37288,46499,18455,56189,68701,41151
succinate semialdehyde,1472,961,1036,903,1676,716,1085,841,1340,1244,962,786,3092,1260,978,1082
squalene,18282,11856,15352,19255,17396,18947,20871,12879,18631,13165,12386,15236,17779,13498,14550,15460
sorbitol,1864,2205,2550,1817,1691,1278,2275,2342,2373,2353,1478,1895,1441,2180,2471,2693
shikimic acid,958,1306,934,1092,637,659,845,776,992,683,739,609,951,999,1326,561
serine,121719,126974,149602,252725,180088,236257,183930,128413,166378,159852,157428,173944,249106,152174,180675,217038
ribose,5384,3427,3487,5536,4067,3566,4926,2178.33969337519,5878,4603,3886,3083,4627,3358,4502,3236
ribitol,2323,1743,2825,1968,1825,1874,2421,1850,3030,2195,1053,1668,2458,2851,1955,2013
pyruvic acid,23876,18563,26074,6393,48434,4842,8236,16690,4120,25794,25556,26986,5865,25399,23749,7056
pyrophosphate,192290,185925,197370,63937,317670,108554,76800,215445,121145,216786,173798,233409,54597,285501,235258,141162
