index,label,p_values,p_values_adjusted
1,xylose,0.685021410659996,0.912532314771138
2,xylitol,0.70933778925123,0.912532314771138
3,xanthine,0.836793804398083,0.945385366800888
4,valine,0.887783924529006,0.978686014576669
5,uridine,0.121405920042897,0.875125362417616
6,uric acid,0.685969664550278,0.912532314771138
7,urea,0.581481614022388,0.887209060570242
8,uracil,0.175185955643973,0.875125362417616
9,UDP GlcNAc,0.664592633042072,0.912532314771138
10,tyrosine,0.402636095069501,0.875125362417616
11,tryptophan,0.580842542356523,0.887209060570242
12,tocopherol alpha-,0.553589184624475,0.880980637897013
13,thymine,0.825616823700272,0.945385366800888
14,threonine,0.979956805965345,0.990835532380591
15,threonic acid,0.624113574460194,0.911157951768503
16,terephthalic acid,0.576646827237055,0.887209060570242
17,taurine,0.48171413111814,0.875125362417616
18,tagatose,0.47523666046793,0.875125362417616
19,sucrose,0.397852964582369,0.875125362417616
20,succinic acid,0.990835532380591,0.990835532380591
21,succinate semialdehyde,0.101968144464253,0.875125362417616
22,squalene,0.19173884888542,0.875125362417616
23,sorbitol,0.730576958373609,0.912532314771138
24,shikimic acid,0.476029000289258,0.875125362417616
25,serine,0.739892789895947,0.912532314771138
26,ribose,0.0691462910858106,0.875125362417616
27,ribonic acid,0.735584484907132,0.912532314771138
28,ribitol,0.417351119583975,0.875125362417616
29,pyruvic acid,0.498537825008327,0.875125362417616
30,pyrophosphate,0.800781011564131,0.933193619775523
31,pseudo uridine,0.412927993903768,0.875125362417616
32,proline,0.544938472412082,0.877882453684641
33,p-hydroxylphenyllactic acid,0.689619097836951,0.912532314771138
34,phosphoethanolamine,0.378910584719843,0.875125362417616
35,phosphate,0.780881289868542,0.917225642067812
36,phenylalanine,0.156316517377904,0.875125362417616
37,pentadecanoic acid,0.0704676760337723,0.875125362417616
38,pantothenic acid,0.96986139416129,0.990835532380591
39,palmitoleic acid,0.284211468010867,0.875125362417616
40,oxoproline,0.905945837817592,0.978686014576669
41,oxalic acid,0.7590870451376,0.913373029921665
42,ornithine,0.51746934918283,0.875125362417616
43,oleic acid,0.333141540033251,0.875125362417616
44,noradrenaline,0.421098214891753,0.875125362417616
45,nonadecanoic acid,0.0906212693459344,0.875125362417616
46,nicotinamide,0.726714594381823,0.912532314771138
47,N-acetylputrescine,0.452705791919716,0.875125362417616
48,n-acetyl-d-hexosamine,0.0186036788719143,0.68833611826083
49,N-acetylaspartic acid,0.712899983565717,0.912532314771138
50,myristic acid,0.074056367813609,0.875125362417616
51,myo-inositol,0.746764505884947,0.912532314771138
52,methionine sulfoxide,0.686529212194557,0.912532314771138
53,methionine,0.342365524619623,0.875125362417616
54,methanolphosphate,0.481068673766145,0.875125362417616
55,melibiose,0.256283499021195,0.875125362417616
56,mannose,0.936244400134323,0.982724618580708
57,maltotriose,0.59597284866547,0.891950368840349
58,maltose,0.695531028899964,0.912532314771138
59,malic acid,0.568586163476716,0.887209060570242
60,lyxose,0.807395877906802,0.933551483829739
61,lyxitol,0.0990193647416469,0.875125362417616
62,lysine,0.294239243546788,0.875125362417616
63,linoleic acid,0.251562128462213,0.875125362417616
64,levoglucosan,0.835298757748741,0.945385366800888
65,leucine,0.258398251551067,0.875125362417616
66,lauric acid,0.903878829421104,0.978686014576669
67,lactic acid,0.316495229999044,0.875125362417616
68,isothreonic acid,0.545710714452615,0.877882453684641
69,isoleucine,0.433762532576002,0.875125362417616
70,isohexonic acid,0.0131558148349892,0.649020198526132
71,inositol-4-monophosphate,0.945459077509172,0.985408052615194
72,inosine-5'-monophosphate,0.778080383244017,0.917225642067812
73,inosine,0.365361102083029,0.875125362417616
74,indole-3-lactate,0.52034481008615,0.875125362417616
75,hypoxanthine,0.92118241451712,0.9808273190542
76,hydroxycarbamate NIST,0.306498153695772,0.875125362417616
77,homoserine,0.964687290820503,0.990835532380591
